Qty,Parts,Value,Can Substitute,Do not populate (DNP),Device,Package,Description,DESCRIPTION,DIGIKEY,MANUFACTURER,MPN,MOUSER,Notes
1,3.9nH,INDUCTOR0402,Y,,0402_CAP,L1,A very specific inductor,FIXED IND 3.9NH 840MA 66 MOHM,AISC-0402-3N9G-TCT-ND,Abracon LLC,AISC-0402-3N9G-T,,
1,15nH,INDUCTOR0402,Y,,0402_CAP,L2,A very specific inductor,FIXED IND 15NH 320MA 460 MOHM,587-1521-1-ND,Taiyo Yuden,HK100515NJ-T,,
1,10uH,INDUCTOR0603,Y,,0603_CAP,L3,A very specific inductor,FIXED IND 10UH 300MA 600 MOHM,445-6755-1-ND,TDK Corporation,MLZ1608N100LT000,,
2,0,RESISTOR0402_RES,Y,,0402_RES,"R1,R2",Resistor,RES SMD 0 OHM JUMPER 1/10W 0402,P0.0JCT-ND,Panasonic Electronic Components,ERJ-2GE0R00X,,
1,270,RESISTOR0402_RES,Y,,0402_RES,R3,Resistor,RES SMD 270 OHM 1% 1/16W 0402,1276-3970-1-ND,Samsung Electro-Mechanics,RC1005F271CS,,
3,470,RESISTOR0402_RES,Y,,0402_RES,"R4,R5,R6",Resistor,RES SMD 470 OHM 1% 1/16W 0402,541-4072-1-ND,Vishay Dale,CRCW0402470RFKEDC,,
4,1k,RESISTOR0402_RES,Y,,0402_RES,"R7,R8,R9,R10",Resistor,RES SMD 1K OHM 1% 1/5W 0402,541-3240-1-ND,Vishay Dale,RCA04021K00FKEDHP,,
1,2k 1%,RESISTOR0402_RES,Y,,0402_RES,R11,Resistor,RES SMD 2K OHM 1% 1/10W 0402,P2.00KLCT-ND,Panasonic Electronic Components,ERJ-2RKF2001X,,
3,10k,RESISTOR0402_RES,Y,,0402_RES,"R12,R13,R14",Resistor,RES SMD 10K OHM 5% 1/10W 0402,P10KJCT-ND,Panasonic Electronic Components,ERJ-2GEJ103X,,
2,11k 1%,RESISTOR0402_RES,Y,,0402_RES,"R15,R16",Resistor,RES SMD 11K OHM 1% 1/10W 0402,P11.0KLCT-ND,Panasonic Electronic Components,ERJ-2RKF1102X,,
1,16k,RESISTOR0402_RES,Y,,0402_RES,R17,Resistor,RES SMD 16K OHM 1% 1/16W 0402,YAG5263CT-ND,Yageo,AC0402FR-0716KL,,
3,100k,RESISTOR0402_RES,Y,,0402_RES,"R18,R19,R20",Resistor,RES SMD 100K OHM 1% 1/16W 0402,541-3960-1-ND,Vishay Dale,CRCW0402100KFKEDC,,
1,2.2M,RESISTOR0402_RES,Y,,0402_RES,R21,Resistor,RES SMD 2.2M OHM 1% 1/16W 0402,541-4083-1-ND,Vishay Dale,CRCW04022M20FKEDC,,
1,10M,RESISTOR0402_RES,Y,,0402_RES,R22,Resistor,RES SMD 10M OHM 5% 1/10W 0402,P10MJCT-ND,Panasonic Electronic Components,ERJ-2GEJ106X,,
1,HHM1595A1,HHM1595A1,N,,EIA-0805,T1,"Description: Symbol for HHM1595A1, a multilayer Balun from TDK.",XFMR BALUN RF 3.0-8.0GHZ UWB SMD,445-3387-1-ND,TDK Corporation,HHM1595A1,,
1,DW1000,DW1000,N,,QFN-48-DW1000,U1,"Description: The DecaWave DW1000 chip, used for UWB two-way ranging.",IC RF TXRX 802.15.4 48-QFN,1479-1001-1-ND,Decawave Limited,DW1000-I-TR13,,
1,STM32F091CC,STM32F091CC,N,,UFQFPN-48,U10,"Description: STM32F091CC from STMicroelectronics, an ARM-based 32-bit MCU with 256 kB Flash, 32kB of SRAM and a Cortex M0",IC MCU 32BIT 256KB FLASH 48QFPN,497-15813-ND,STMicroelectronics,STM32F091CCU6,,
1,FT232RQ,FT232RQ,N,,QFN32,U2,Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf,IC USB FS SERIAL UART 32-QFN,768-1008-1-ND,"FTDI, Future Technology Devices International Ltd",FT232RQ,,
1,LIS2DW12,LIS2DW12,N,,LGA-12,U3,ultra low power 3 axis accelerometer,MEMS DIGITAL OUTPUT MOTION SENSOR,497-17718-6-ND,STMicroelectronics,LIS2DW12TR,,
1,LXDC2HN18A,LXDC2HN18A,N,,LXDC2HN,U4,"Description: Symbol for LXDC2HN18A-097, a DC-DC converter by Murata Electronics.",DC/DC CONVERTER SMD,490-12092-1-ND,Murata Electronics North America,LXDC2HN18A-097,,
1,MAX8887EZK33+T,MAX8887EZK33+T,N,,SOT-23-5,U5,IC REG LDO 3.3V 0.3A TSOT23-5,IC REG LIN 3.3V 300MA TSOT23-5,MAX8887EZK33+TCT-ND,Maxim Integrated,MAX8887EZK33+T,,
1,MCP73831,MCP73831,N,,DFN-8-MCP,U6,"Description: Device for MCP73831, a battery charge controller from Microchip.",IC CONTROLLER LI-ION 4.2V 8DFN,MCP73831T-2ACI/MCCT-ND,Microchip Technology,MCP73831T-2ACI/MC,,
1,NRF52840,NRF52840,N,,AQFN73,U7,"ultra-low power 2.4 GHz wireless system on chip (SoC) integrating a multiprotocol 2.4 GHz transceiver, an ARM® Cortex®-M4F CPU.",NRF52840-QIAA QFN 73L,1490-1071-1-ND,Nordic Semiconductor ASA,NRF52840,,
1,SIP32510,SIP32510,N,,TSOT23-6,U8,"Load switch, slew rate controlled. By Vishay",IC LOAD SWITCH SOT23-6, SIP32510DT-T1-GE3CT-ND,Vishay Siliconix,SIP32510DT-T1-GE3,,
1,SKY13317,SKY13317,N,,MLPQ-UT-8,U9,"Description: Device for SKY13317-373LF, an RF switch from Skyworks Inc.",IC SWITCH RF SP3T 8-MLP,863-1056-1-ND,Skyworks Solutions Inc.,SKY13317-373LF,,
1,32.768kHz,ABS05-32.768KHZ-9-T,N,,ABS05,X1,32.768kHz Crystal,"32.768kHz ±20ppm Crystal 9pF 90 kOhms 2-SMD, No Lead",535-11897-1-ND,Abracon LLC,ABS05-32.768KHZ-9-T,,
1,16MHz,FA-20H,N,,FA-20H,X2,Description: Oscillator by EPSON from 12MHz to 54 MHz,"16MHz ±10ppm Crystal 8pF 80 Ohms 4-SMD, No Lead",SER4201CT-ND,EPSON,FA-20H 16.0000MF10Z-AJ5,,
1,32MHz,7V-32.000MAHV-T,N,,TXC-7V,X3,TXC CRYSTAL SMD,"32MHz ±30ppm Crystal 8pF 60 Ohms 4-SMD, No Lead",887-2568-1-ND,TXC CORPORATION,7M-32.000MAHV-T,,
1,38.4MHz,FA-20H,N,,FA-20H,X4,Description: Oscillator by EPSON from 12MHz to 54 MHz,"38.4MHz ±10ppm Crystal 8.5pF 40 Ohms 4-SMD, No Lead",SER3631CT-ND,EPSON,FA-20H 38.4000MF10Z-AS3,,
9,TPTP06SQ,TPTP06SQ,,DNP,TP06SQ,"+1V8,MISO,MOSI,SPI_CLK,TP1,TP2,TP3,TP4,TP15",Test pad,,,,,,
12,TEST-POINT,TEST-POINT,,DNP,PAD.03X.03,"GPIO0,GPIO1,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14",,,,,,,
1,BAT_HOLE,BAT_HOLE,,DNP,BATTERY_HOLE,J3,,,,,,,
2,TC2030-JLINK-NL,TC2030-JLINK-NL,,DNP,TC2030-IDC-NL,"J4,J5",,,,,,,
1,JUMPER-SMT_2_NO_NO-SILK,JUMPER-SMT_2_NO_NO-SILK,,DNP,SMT-JUMPER_2_NO_NO-SILK,JP1,Normally open jumper,,,,,,
